fips,total_8_hour_outages,n_years_available,avg_customers_out,avg_customer_time_std,tot_po_yr
12086,2,3,2561843,2,55
12087,0,3,175520,4,89
12089,2,3,118267,3,78
12091,1,1,202335,2,84
12093,0,2,59173,3,110
12097,0,2,2208785,15,52
12099,1,3,1357985,2,86
12101,1,3,460543,2,105
12105,0,2,363276,1,74
12107,2,3,101293,3,92
12113,0,1,120557,1,95
12115,1,3,411666,2,99
12117,2,3,388806,2,87
12109,1,3,202946,2,90
12111,0,3,212592,1,84
12119,1,3,98172,1,64
12121,5,3,159207,8,177
12123,2,3,51654,5,126
12125,1,3,17060,3,45
12127,2,3,465471,2,89
12129,5,3,366759,24,155
12131,2,3,295270,8,113
12133,0,1,30629,3,111
13001,2,2,88932,10,163
13003,1,3,22503,6,74
13005,1,3,24854,5,70
13007,7,3,118773,67,103
13009,3,3,83213,4,90
13011,3,3,66452,7,102
13013,2,3,62641,2,48
13015,4,3,270375,5,88
13017,2,2,67209,8,72
13019,1,3,33692,4,35
13021,4,3,216422,3,82
13023,1,3,24401,4,18
13025,2,2,28668,3,116
13029,1,3,50138,3,84
13031,1,3,126054,3,105
13033,2,3,30296,3,44
13037,3,3,57183,24,111
13039,2,3,91274,4,87
13043,1,3,35759,7,97
13045,3,3,312771,6,110
13049,2,3,36707,8,98
13051,4,1,398798,3,94
13053,1,3,15910,5,47
13055,6,2,73852,6,124
13057,3,3,384114,3,77
13059,2,3,136885,2,65
13061,3,3,46039,28,99
13063,7,3,464374,4,106
13067,3,1,1663659,4,48
13069,2,2,129299,7,102
13073,2,3,118329,2,60
13077,4,2,437346,6,89
13079,3,3,38239,6,104
13083,5,3,68646,9,83
13085,4,3,116337,9,98
13087,6,3,420013,31,121
13089,9,3,2181278,6,150
13093,2,3,85559,14,115
13097,2,3,246355,4,80
13103,1,3,81844,3,67
13105,0,1,11452,1,42
13107,1,3,60802,6,75
13109,0,2,31802,6,84
13111,10,1,617593,42,232
13113,2,1,97108,2,70
13115,8,2,140997,3,124
13117,1,3,241575,2,67
13119,2,3,62147,6,77
13121,8,2,1439870,3,141
13123,15,3,657319,41,248
13127,2,3,162125,4,82
13129,4,2,74578,3,114
13131,5,3,380167,32,115
13133,3,3,57376,6,95
13135,4,3,1184497,3,97
13137,6,3,253652,13,100
13139,3,3,419650,5,84
13141,3,3,44997,12,160
13143,4,3,198102,13,132
13145,3,3,97463,6,93
13147,1,3,32718,2,59
13149,2,3,46030,8,83
13151,1,3,174181,2,71
13153,1,3,189127,3,59
13155,4,2,61361,14,114
13157,2,3,58317,2,75
13159,1,3,28843,4,80
13161,1,2,73557,11,112
13167,3,3,52968,12,79
13169,4,2,99988,7,90
13171,2,2,28668,3,97
13175,1,3,127650,6,47
13177,3,3,287531,21,80
13179,2,2,90877,3,113
13181,2,3,17903,4,59
13183,1,3,28493,4,83
13185,1,3,61189,1,34
13187,6,3,208579,13,127
13193,4,3,84598,14,115
13195,2,2,32035,2,55
13197,4,3,28771,7,76
13189,1,3,25714,2,70
13191,1,3,44061,6,95
13199,4,3,70041,7,116
13201,1,3,7812,3,31
13205,3,3,437849,42,100
13207,3,3,53954,4,94
13211,1,3,32118,3,100
13213,4,2,101360,6,137
13215,5,3,260114,3,78
13219,1,2,39825,2,68
13223,1,3,280159,4,66
13225,1,3,40954,3,57
13227,8,3,233561,15,150
13229,2,2,40048,4,102
13231,3,2,68396,9,68
13233,7,3,192817,10,121
13235,1,3,79587,16,70
13237,2,3,70077,6,104
13239,0,3,978,1,18
13241,6,1,99392,11,235
13243,2,3,56183,16,84
13245,2,3,163190,2,64
13247,1,3,75826,2,62
13255,0,3,32159,1,50
13257,2,3,122642,9,87
13259,1,3,536,0,13
13261,3,3,251756,16,97
13263,4,3,24361,7,92
13265,0,3,215,0,6
13267,0,3,43692,4,83
13271,1,3,33069,5,21
13273,4,3,89729,21,101
13275,4,3,152666,7,63
13277,2,3,117102,6,40
13279,0,3,32201,2,26
13281,6,1,103177,16,166
13285,1,3,51045,2,51
13287,3,3,52409,13,98
13291,9,1,317176,23,203
13293,3,3,36652,3,62
13297,1,3,81216,2,65
13299,1,2,45738,2,76
13301,2,3,15140,5,88
13303,3,3,104379,11,119
13305,2,2,67518,5,130
13307,2,3,18126,13,72
13311,8,2,319073,21,142
13315,2,3,76613,23,114
13321,3,3,272436,26,78
15003,2,3,1125703,3,171
15007,4,3,204759,8,101
16003,0,3,241,0,5
16009,1,1,7304,1,18
16011,0,1,1632,0,1
16013,2,1,2590,0,15
16015,0,3,624,0,8
16017,3,3,187041,7,61
16025,0,1,84,0,2
16033,1,2,112,0,61
16035,5,1,76361,15,45
16043,2,3,43004,7,125
16047,0,2,775,0,10
16049,4,1,48058,5,36
16053,0,2,983,0,6
16055,2,3,148333,2,44
16057,2,1,8526,0,9
16059,0,2,432,0,8
16063,0,3,341,0,4
